record,enterprise,metro,tract_pct_minority,tract_income_ratio,borrower_income_ratio,ltv,loan_purpose,fed_guarantee,borrower_race,borrower_gender,coborrower_race,coborrower gender,units,affordability
995118,1,1,3,2,3,1,8,4,7,7,1,2,1,4
932003,1,1,1,2,2,5,1,4,5,5,1,2,1,4
1609142,1,1,2,2,2,4,1,4,5,9,1,4,1,4
285740,1,0,2,2,2,2,8,4,5,9,2,4,1,4
859531,1,1,2,3,3,4,1,4,2,9,1,4,1,4
367605,1,1,1,3,3,3,1,4,5,5,2,1,1,4
1013264,1,1,2,3,3,2,8,4,9,9,1,4,1,4
1081262,1,0,2,1,3,2,1,4,5,5,1,2,1,4
945949,1,1,2,3,3,1,8,4,5,5,1,2,1,4
1374940,1,1,3,3,3,3,1,4,7,9,1,4,1,4
1182871,1,0,1,3,3,4,1,4,5,9,1,4,1,4
953130,1,1,1,2,1,3,1,4,5,9,2,4,1,3
606945,1,1,3,1,2,1,8,4,5,9,1,4,1,1
407494,1,1,1,3,3,3,1,4,5,9,2,4,1,4
1318986,1,1,3,1,2,5,1,4,5,9,1,4,1,1
996897,1,1,3,3,3,4,1,4,7,7,1,2,1,4
128929,1,1,1,2,2,5,1,4,5,9,1,4,1,4
32519,1,1,2,3,3,3,1,4,5,9,2,4,1,4
855740,1,1,3,3,3,4,1,4,5,5,1,2,1,4
381633,1,1,3,2,3,4,1,4,2,9,3,4,1,4
751087,1,1,3,1,3,5,1,4,7,7,2,1,1,4
777093,1,1,2,3,3,1,1,4,5,5,1,2,1,4
104462,1,1,3,1,3,2,1,4,7,7,1,2,1,4
1040832,1,1,3,2,3,2,1,4,5,9,1,2,1,4
371400,1,1,2,2,2,4,1,4,5,9,1,4,1,4
365152,1,1,1,2,3,2,8,4,5,9,1,4,1,4
1494085,1,1,3,1,2,5,1,4,6,7,1,2,1,1
1123872,1,1,3,2,2,4,1,4,7,9,2,4,1,4
872668,1,0,1,2,3,3,1,4,5,5,1,2,1,4
1616377,1,1,2,2,1,2,1,4,5,9,2,4,1,3
334707,1,1,3,3,1,2,8,4,5,9,1,4,1,3
1735391,1,1,1,2,3,2,8,4,5,5,1,2,1,4
1402822,1,1,1,3,2,2,8,4,5,5,1,2,1,4
1378317,1,0,1,2,3,3,1,4,5,5,9,9,1,4
819804,1,1,2,2,3,2,1,4,5,9,1,4,1,4
398552,1,1,3,2,2,2,1,4,7,9,1,4,1,4
1012226,1,1,3,2,3,2,1,4,7,7,1,2,1,4
